Speakers	Title	Description	YouTube ID
Melissa Renee Korf, Julie Goldman	NIH/GREI: DMP/RDM Updates	The Dataverse Project at IQSS is joining the NIH Office of Data Science Strategy (ODSS) and five other generalist repositories in launching the Generalist Repository Ecosystem Initiative (GREI) with the intention of supplementing domain-specific repositories in support of the NIH biomedical data ecosystem for data sharing.	YghUP5mMwMU
Sarah Giesbrecht, Anatsiisinsski (Chyloe Healy)	Indigenous Data Management: Indigenous Sovereignty in Action	The Indigenous Data Management: Indigenous Sovereignty in Action project is intended to bring together experts in Indigenous data and information management to share their knowledge through a series of webinars and compile this information into an online toolkit.	YghUP5mMwMU
Aapooyaki Bonnie Healy	Keynote for the 2022 Dataverse Community Meeting	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Gary King	Welcome to the 2022 Dataverse Community Meeting	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Gustavo Durand	Dataverse Software - New Features and Future Plans	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Dataverse Community	#Dataverse2022 Community Update Video 	Updates from Dataverse installations around the world. Given at the 2022 Dataverse Community Meeting.	dyCPbvFy63g
Julie Goldman, Danny Brooke	Dataverse, DMPTool, RSpace, and Harvard Data Commons	Given at the Force11 Community Call.	BN5HKGYiJCg
Jim Myers	Multiple licenses demo	"The password is ""community2022!"" A demo of the multiple license feature under development at https://github.com/IQSS/dataverse/pull/7920"	
Teresa Bascik (UniversitÃ© de MontrÃ©al), Mark Goodwin (UBC), Ãve Paquette-Bigras (UniversitÃ© de MontrÃ©al), Michael Steeleworthy (Wilfrid Laurier)	Data Curation and Metadata Best Practices for Dataverse	New guides to help curators, data managers, and stewards	OOro8ymXoEY
Philipp Conzett, Helene N. Andreassen	Adapting flexible metadata support in Dataverse to the needs of domain-specific repositories	The case of The TromsÃ¸ Repository of Language and Linguistics (TROLLing).	6Exy3bvLm9U
Pablo ValÃ©rio PolÃ´nia	Developing an updated plugin for Dataverse integration with OPS/OJS	In this activity we present the current status of development of a plugin to integrate Dataverse with Open Preprint Servers (OPS) and Open Journal Systems (OJS) in their most recent versions (3.3.x series).	
Slava Tykhonov	External controlled vocabularies support in Dataverse 5.7	CESSDA Tools Hour: Dataverse presentation 	uzbZX5baxXo
Dataverse North Expert Group	Dataverse in Canada Series: Community Panel - Use cases from across Canada	This webinar brought together representatives from a number of Canadian institutions, large and small, for a panel presentation and discussion that explored their various use cases, implementation decisions, and experiences.	GnRBU5Fotv0
Ana Trisovic	Dataverse and research software publications	The talk presents the Dataverse project with a focus on existing and prospective features that support (research) software publications.	
Jane Fry, Chantal Ripp, Meghan Goodchild	Dataverse in Canada Series: Introduction and features you didn't know you needed!	Scholars Portal Dataverse is a publicly accessible, secure, multi-disciplinary, multi-lingual repository for research data, searchable from anywhere in the world, with servers hosted in Canada. This repository platform includes features such as: permanent links (DOIs) that encourage citation of your data set; and allowing you to set licensing terms for access and reuse of your research data.	IdymBp0CTd4
Raman Prasad, Ellen Kraffmiller, Ethan Cowan	Using OpenDP Library in Applications: DP Creator with Dataverse Integration	Demo of bringing restricted files into DP Creator to create differentially private statistics that are deposited back into Dataverse as auxillary files.	0vfqPZcpi90
RSpace	RSpace, DMPTool, and Dataverse Integration	After importing DMPs into RSpace and exporting to Dataverse, a link to the Dataverse dataset is added to the DMP and its landing page.	dIsYLcx6qNc
Danny Brooke	Closing Session (Dataverse Community Meeting 2021)	Thanks for coming to #dataverse2021!	u9HXJtBlb2w
MingJing Peng et al.	Curation Workflows	In order for data to be more easily discoverable, better understood, and re-usable, it must be âcuratedâ. There are many levels of data curation. The panelists for this session will describe the tools, best practices, and the level of curation performed on datasets in their respective Dataverse repositories.	ILZL_lN7A_g
Ceilyn Boyd et al.	Preservation	The main question of the session is what are the relevant preservation practices designed to ensure data in a Dataverse installation is usable for as long as it needs to be kept within the organizations. The experiences to be presented will explore what best practices exist to manage data preservation and the efforts that have been adopted so far by the Dataverse community for the purpose of archiving content to ensure interoperability, consistency and the safety and security of digital data.	Fv1eIBfSLMM
Arfon Smith et al.	Software Metadata and Containerization	Support for computational artifacts such as software, workflows, and containers is needed in the Dataverse software in order to meet the demands of advanced data analysis and enable research reproducibility and reuse. This session will feature invited presentations on software metadata Codemeta, Research Object and RO-Crate metadata, git integration, and adequate documentation and guidelines. We aim to identify practical considerations and implementation steps on the topic for the Dataverse software platform. Following the presentations and Q&A, we will have a discussion on shaping Dataverse software support for Codemeta, RO-Crate, and git integration.	LJq-mzT9v8o
Steven McEachern et al.	Integrations and External Tools	We'll start with a brief intro discussing the history and philosophy behind the framework, then view some demos on these new and innovative projects: a tool to upload from Globus, a tool that can tie into a Request Access Workflow, a project that highlights datasets and papers that are conceptually similar to one another, and a tool for code readability and reproducibility.	d_efkb2X7yM
Kevin Worthington et al.	Geospatial Data	Our community is pursuing a broad range of geospatial development, and design discussions, with this session aimed at furthering these discussions collectively to develop priorities for next steps.	FGlCy_ebwXA
Julie Goldman et al.	Sensitive Data	An introduction to the DPCreator; overviews of the management of sensitive qualitative data and health policy research data; and an update on the Harvard Medical Schoolâs DMP tool and how it can help the community prepare to share sensitive data.	q3irpQ4rOyU
Julian Gautier, Wim Hugo	Terms of Use, Licensing, Installation Policies	High quality access to data outputs and published research objects depends on repositories clearly defining terms and licenses for reuse. This session will present an overview of the importance of data licensing, describe some of the recent work in the Dataverse Community for adding software support for multiple license options, and introduce opportunities and implications for machine readability and automation of licensing in the Dataverse software and other repositories.	XuVnrbIDGH0
Kate Dreher et al.	Remote Storage and Large Datasets	This session will cover the need for affordable large data support. Currently, the high-cost constraints of bandwidth use stemming from cloud storage prevent many repositories from supporting and sharing large data.	uPPNhZzMV4Q
Philipp Conzett, John Graybeal, Jim Myers, Slava Tykhonov	Flexible Metadata/Controlled Vocabularies	We will present and discuss ongoing efforts and future ideas for improving the FAIR support of the Dataverse software focusing on metadata schemas and controlled vocabularies. Important issues will be raised such as interoperability, compliance with metadata standards, integration with external services, and the maintenance and sustainability of flexible metadata support.	mWMPxCwB2ys
Sonia Barbosa, Karine Burger, Philipp Conzett, Laura Rezende	CoreTrustSeal	The CoreTrustSeal is the most widely used certification for helping establish trustworthy data repositories.	6tKNVK4lXjw
MercÃ¨ Crosas, Jonathan Crabtree	GDCC/Governance Session 2 (Dataverse Community Meeting 2021)	Financial updates, ongoing projects, GDCC website, Governance and Advisory Board 	nKLql6z-HWI
MercÃ¨ Crosas, Jonathan Crabtree	GDCC/Governance Session 1 (Dataverse Community Meeting 2021)	Financial updates, ongoing projects, GDCC website, Governance and Advisory Board 	JVLOWF4NGrA
Gary King, MercÃ¨ Crosas, Carole Anne Goble, Daniel S. Katz, Herbert Van de Sompel, Danny Brooke, Sonia Barbosa	Plenary Sessions (Dataverse Community Meeting 2021)	"FAIR workflows and Research Objects get a workout, ""Progress Toward More Sustainable Research Software"", ""FAIR Signposting: A KISS Approach to a Burning Issue"", Dataverse Software - New Features and Future Plans, Community Update Videos "	Vo1mtvrh4wc
Sonia Barbosa	Introduction to the Dataverse Software (Dataverse Community Meeting 2021)	This session will introduce the Dataverse Software for data sharing and preservation, using the Harvard Dataverse Repository as the model. You will have an opportunity to learn about the software and how it can support institutional repositories, research projects, team projects, teaching courses, and the general data sharing needs of your community.	vAJcfOGn5I0
Slava Tykhonov, Don Sizemore, Samuel Bernardo, Stefan Kasberger	Automated CI/CD Testing, Installation and Deployment of a Dataverse Installation on a Cloud	You will learn more about the Cloud related features available in the pyDataverse module, which is widely used by the Dataverse Community for various tasks. We are going to show some practical use cases with the Selenium framework used for automation testing for Jenkins integration. You will also learn about the Software Quality as a Service (SQAaaS) framework that was developed in EOSC Synergy project in the context of the European Open Science Cloud	f1ha4IcvlG4
Marion Wittenberg, Laura Huis in ât Veld, Veronika Heider	SSHOC - Dataverse Translation Workshop	Weblate, a tool for translation of the user interface of Dataverse into various languages.	WiIxney3ORU
Katie Mika	Graduate Studentsâ Attitudes Toward Data Sharing and Reproducibility	Graduate Studentsâ Attitudes Toward Data Sharing and Reproducibility	qMyTAeHJIkI
Ana Trisovic	Repository Approaches to Improving the Quality of Shared Data and Code	Approaches based on reproducibility, data curation, and gamified elements can be used to indicate and improve the quality of datasets in a repository. 	9-1DVVbtm7o
Mandy Gooch	Supporting Computational Reproducibility: Updates on CoRe2 Development and AJPS Verification Policy Implementation	Talk about the updates on the developments of the CoRe2 platform, the Dataverse collaboration, and the AJPS result verification policy implementation.	oMQsTcXtGbU
MercÃ¨ Crosas	2020 Dataverse Community Meeting closing event	Thanks for coming to #dataverse2020!	l5y2L16PNxs
Anna Dabrowski, Meghan Goodchild, Gustavo Durand	Remote Storage/Large Datasets	The Remote Storage/Large Datasets breakout session will include brief presentations from community members and group discussion about improving data transfer mechanisms and storage options for Dataverse repositories. Presentations will cover data upload developments, including Globus integration and direct upload to S3, as well as Trusted Remote Storage Agents (TRSA) for sensitive data, and managing multiple data stores. This session is an opportunity to hear about and provide feedback on the efforts of community members, discuss policy and service implications for managing repositories, and talk about further coordinating our efforts.	LHyiA3JeiwE
Tomasz Miksa	Dataverse and Machine-actionable Data Management Plans	Part of the External Tools session.	YH4I_kldmGI
Mahsa Naseri	Dataverse External Tools: JMP integration	Part of the External Tools session.	YH4I_kldmGI
Phil Durbin, Kaitlin Newson, Jim Myers, Kacper Kowalik, James Honaker, Kamil Guryn, Xinyue Ye, Mahsa Naseri, Matthew Dunlap, Tomasz Miksa	External Tools	External Tools intro, The Dataverse Data Curation Tool, A Previewer How To, Whole Tale as a Dataverse's External Tool, TwoRavens for Machine Learning, A set of a new Dataverse external tools for advanced data visualization in hard sciences, An Intelligent Dataset Discovery System for Dataverse, JMP integration, Data Curation and Verification Workflows Utilizing Containerization, Dataverse and Machine-actionable Data Management Plans	YH4I_kldmGI
Jonas Kahle, Philipp Conzett, Richard Fulss	Flexible Metadata Session 2	Panel of speakers will give brief talks on longer term metadata issues and projects that have major design implications. Discussion in this session will focus on opportunities, challenges, and priorities for long term features and design development to facilitate metadata integration and exchange.	fOzhYfEr7Rk
Olga Kurek, Steve McEachern, Martine Gagnon	Flexible Metadata Session 1	Panelists will give brief talks on metadata projects that have been recently implemented or are near-term opportunities. This discussion will focus on near-term metadata projects and possibilities that can be executed in the latest version.	3_SRARQiBr8
Sonia Barbosa, Danny Brooke	New Feature Demo	Come and learn about the Dataverse releases and features from over the last year!	N_zcjYnNQ8o
CIMMYT	Prototype 2 for Auto-completion based on existing database values for the field Keyword. #6154	"A demo for the second of two proposals for enhancing Dataverse's ability to handle controlled vocabularies. See <a href=""https://github.com/IQSS/dataverse/issues/6154#issuecomment-590953255"">#6154</a>."	
CIMMYT	Prototype 1 for Auto-completion based on existing database values for the field Keyword. #6154	"A demo for the first of two proposals for enhancing Dataverse's ability to handle controlled vocabularies. See <a href=""https://github.com/IQSS/dataverse/issues/6154#issuecomment-590953255"">#6154</a>."	
Kaitlin Newson	The Dataverse Data Curation Tool	Learn how data owners and curators can create and edit metadata at the variable level, view summary statistics and charts about their data, and more! 	
MercÃ¨ Crosas	Dataverse: A Software, a Community, a Network of Repositories	Presentation at the NIH worksop on Establishing a FAIR Biomedical Data Ecosystem: The Role of Generalist  and Institutional Repositories to Enhance Data Discoverability and Reuse. Starts at 2:24:38.	
Philip Durbin	Advancing science with Dataverse	A talk at FOSDEM where Dataverse and FAIR data principles are introduced to open source developers.	yjJUTIOfFMo
Harvard Dataverse	What is Harvard Dataverse?	A brief introduction to sharing, finding, and exploring data using Harvard Dataverse.	MPQ0Tpgaxt0
Craig Willis	Whole Tale (v0.8) as Dataverse External Tool	"Short demonstration (video-only) of how Whole Tale can be used as an external tool to explore and compute on existing replication datasets. See the <a href=""https://bit.ly/386M1jo"">integration notes</a> for additional details."	AoSpQ3A7poY
Craig Willis	Registering Data from Dataverse in Whole Tale v0 8	"Short demonstration (video-only) of how to analyze source data from Dataverse in Whole Tale. See the <a href=""https://bit.ly/386M1jo"">integration notes</a>"	oWEcFpEUmrU
Eugene Barsky, Mark Goodwin, Paul Dante	Geodisy	Eugene Barsky, Research Data Services Librarian at the University of British Columbia Library, will address their current work on GeoBlacklight integration with Dataverse.	B3IZnMRhdqA
Jonathan Crabtree	Research Data Curation, Management, Sharing and Archiving	Jonathan Crabtree keynote at University of Aveiro	xqEOFY8BV-0
Jonathan Crabtree	Jonathan Crabtree interview at the University of Aveiro	Jonathan Crabtree, co-leader of the Global Dataverse Community Consortium discusses research data and cyber infrastructure.	ZvQQi2Z3hzI
Slava Tykhonov	European Dataverse Workshop 2020 invitation from Slava	Official invitation from Slava Tykhonov (DANS-KNAW) to join European Dataverse Workshop which will be held in TromsÃ¸, Norway, January 23-24, 2020.	ju8bdwTVRSQ
MercÃ¨ Crosas	Recommendations for Implementing Open Science	Keynote at the Swiss Open Science Action Plan Kick-off at EPFL.	
Bertram LudÃ¤scher, Craig Willis	Developing, Packing, and Sharing Reproducible Research Objects: The Whole Tale Approach	In this DataONE webinar, existing and planned integrations between Whole Tale and Dataverse were described.	
Ana Trisovic	Building reproducible workflows for earth sciences - Responding to reproducibility challenges from physics to social sciences	"Keynote at the workshop ""Building reproducible workflows for earth sciences"" at ECMWF"	
Philip Durbin	Turing Way Collaboration Cafe	Phil introduces Dataverse reproducibility initiatives to The Turing Way community.	HIIJvDZ8pzw
The Odum Crew	Dataverse Community Meeting 2019 montage	Clips from the conference set to music	y_1IdJ-nYY0
Sonia M. Barbosa	Topics in Research Data Management #6	Sonia M. Barbosa, Manager of Data Curation and Acquisition for the Harvard Dataverse Project and Manager of the Murray Research Archive, will discuss outreach to researchers to get more buy in and gatekeeping submissions to avoid messy metadata and private or sensitive data	
Slava, Philipp	Dataverse in the European Open Science Cloud	Updates on DataverseEU, Weblate, developement process, and more.	vAPpKuDQUDY
Jonathan Crabtree	Topics in Research Data Management #5	Jonathan Crabtree, Assistant Director for Cyberinfrastructure at The Odum Institute of UNC Chapel Hill, discusses remote storage for Dataverse	MKsrsV6KWsQ
Gustavo, Matthew	Make Data Count Repository Implementation Webinar	Zenodo, Dataverse, and Dryad join MDC to talk about their process implementing standardized data usage metrics	
Amy Nurnberger	Topics in Research Data Management #4	Amy Nurnberger, Program Head, Data Management Services at MIT Libraries, discusses how to leverage campus connections for RDM	7ekgsIALWfE
Eric Kaltman	Topics in Research Data Management #3	Eric Kaltman, CLIR Fellow for Data Curation in the Sciences at Carnegie Mellon University Libraries, shares liaison workflows.	mwwisrH2YBk
Sherry Lake	Topics in Research Data Management #2	Sherry Lake, Scholarly Repository Librarian at University of Virginia Libraries, discusses Open Science Framework (OSF) integration with Dataverse.	_CTNF88G_WQ
Joel Simpson	Integrating Archivematica with Dataverse	Joel describes Archivematica's integration with Dataverse and demonstrates how to preserve Dataverse materials for long-term storage.	T9o5tzzDliA
Sara Stonehouse	Publishing datasets in Dataverse	This video is a quick guide on how to publish datasets in Dataverse.	K9gVgja61Ww
Sara Stonehouse	Publishing a dataverse	This video is a quick guide on how to create, edit or publish a dataverse.	jEJHIXdPjfU
Sara Stonehouse	Finding and exploring data	This video provides a brief overview on how to use Dataverse to find and explore data. 	SA5YiWp-MVU
Amber Leahey	Topics in Research Data Management #1	Amber Leahey, University of Toronto Libraries, discusses recent grant funding and new features in Dataverse in the coming year.	yQ8ajC2FAKk
Philip Durbin	Reproducibility and Dataverse	Current and future efforts to improve scientific reproducibility in the Dataverse ecosystem.	SuyQTsOGugc
Kristi Park	Texas Data Repository - A Year in Review	The Texas Data Repository (TDR) is a consortial data repository using the Dataverse platform. In this presentation we discuss ongoing efforts to develop the TDR as a shared service. The presenters include TDR liaisons from participating institutions. We reflect on the past year of using the TDR and speak from diverse perspectives: the experience of small and large institutions; institutions with varying capacity to provide data services; and institutions implementing different outreach strategies, policies and workflows. We discuss the progress of the TDR, the value of participating in a consortial repository service, successes and challenges, and future goals.	FB6TmQa88A4
Tilburg University	Tilburg University awarded CoreTrustSeal	Tilburg University is the first Dutch university awarded the Data Seal of Approval, now known as the CoreTrustSeal.	n5vPOo3Uy5I
Sami Shahin	Dataverse and Spark	Implementation of the Open Service Broker specification for connecting Dataverse to OpenShift on the Mass Open Cloud (MOC). Also demonstrated a sample application running an Apache Spark cluster.	6G86wwgJHnc
Patrick Dillon	Scaling Dataverse	Our project is to advance this initial containerization work toward making Dataverse more scalable.	
Texas State University	Texas State University Dataverse Launch	We are pleased to announce the official launch of the Texas State University Dataverse, a repository for research datasets created by Texas State researchers.	9PSvlmcPP-o
Philip Durbin	Introducing Dataverse to LibrePlanet	An introduction to Dataverse for the free and open source software community.	-GUr-cd_OWQ
Diana Morganti	Research Data Management Basics	This is an introduction to the concept of Research Data Management and to the Data Management Plan with a very short introduction to the Texas State University Dataverse.	KlcIKwuF-jI
Odum Institute	Managing permissions and restrictions	In this video learn how to manage permissions and restrictions in your dataverse.	PIYUoTArozI
Odum Institute	Publishing datasets	In this video learn how to publish datasets to your dataverse.	wercsv-VItE
Odum Institute	Dataverse customization	In this video learn how to customize your Dataverse.	e9a_YBfBxH0
Odum Institute	Dataverse overview	This video provides a broad overview of Dataverse and some of the new capabilities found in Dataverse 4.	4eSh9OaCqGU
RSpace	RSpace ELN and Dataverse Integration	How to send selected work from RSpace to your preferred Dataverse archive.	avf3tEbcNvQ
Eugene Barsky	Best Practices for Research Data Management	In Canada, as in many developed countries, requirements for data management are being established across a wide range of scholarly disciplines. In this presentation, Eugene Barsky from the University of British Columbia's ARC Team will offer UBC Library expertise in managing thousands of data files with Dataverse software.	sIm9CZipNYo
Tamir Bennatan	Data Visualisations for TwoRavens	A tool to augment TwoRavens, a data analysis tool for Dataverse, to give it visualization capability.	OzrECzPf95g
UiT Norges arktiske universitet	TROLLing - why linguists need it	TROLLing is a research database for linguists. See how it can be useful for you in your research.	uEf0c0NT9_A
Gustavo, Steve, Bob	Bean Validation: Practical Examples from a Real-World Java EE 7 Application	How Dataverse uses bean validation.	xg9A3q-fRyo
Alex Garnett	OJS - Dataverse Plugin Demonstration	This video demonstrates a new plugin linking OJS to Dataverse.	ftK1_IvWaVc
