Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
9/21/2018 6:44:23	Staff	Harvard Law School (HLS)	metaLAB (at) Harvard/Berkman Klein Center for Internet and Society
9/21/2018 9:25:23	Research assistant	Harvard Medical School (HMS)	Global Surgery and Social Change
9/24/2018 12:56:09	Faculty	Harvard Medical School (HMS)	MGH/Emergency Medicine
9/24/2018 15:01:06	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Engineering
9/26/2018 11:11:52	Faculty	Harvard Business School (HBS)	BGIE
9/26/2018 20:20:17	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	DrPH
10/1/2018 13:05:44	Post doctoral research associate	FAS Science Division	OEB
10/1/2018 13:35:48	Research fellow	FAS Social Science Division	Harvard Semitic Museum
10/1/2018 18:09:10	Research fellow	Harvard College	Harvard-Smithsonian Center for Astrophysics
10/2/2018 8:26:52	Graduate student: Masters	Harvard Medical School (HMS)	Department of global health and social medicine 
10/3/2018 10:05:08	Non-Harvard	Non-Harvard	Non-harvard
10/3/2018 12:47:44	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension School
10/3/2018 15:50:17	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public policy phd
10/3/2018 21:50:13	Research assistant	Harvard College	Computer Science
10/3/2018 23:24:57	Research assistant	Harvard College	Computer Science
10/9/2018 13:42:59	Staff	FAS Social Science Division	SSASG
10/10/2018 15:28:36	Post doctoral research associate	FAS Science Division	OEB
10/11/2018 17:16:12	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	ESE
10/12/2018 10:16:05	Research assistant	Harvard Business School (HBS)	Finance
10/12/2018 15:54:05	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
10/14/2018 9:06:56	Post doctoral research associate	Harvard School of Public Health (HSPH)	Environmental Health
10/15/2018 14:24:45	Non-Harvard	Non-Harvard	n
10/15/2018 16:14:41	Alum or Emeritus	Harvard School of Public Health (HSPH)	Social & Behavioral Sciences
10/17/2018 11:05:46	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Environmental Chemistry
10/17/2018 11:48:29	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
10/19/2018 13:20:37	Post doctoral research associate	FAS Science Division	OEB
10/20/2018 17:07:59	Post doctoral research associate	Harvard School of Public Health (HSPH)	C-CHANGE
10/26/2018 10:54:27	Graduate student: Masters	Harvard School of Public Health (HSPH)	Biostatistics
10/29/2018 9:37:05	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies
10/29/2018 16:02:34	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	student: Ph.D. in Population Health Sciences (Field of Study: Environmental Health). Officially a GSAS student, but based at HSPH
10/30/2018 10:50:39	Undergraduate student	Harvard College	Economics
10/31/2018 9:47:07	Research fellow	Harvard School of Public Health (HSPH)	Global Health and Population
11/1/2018 13:05:44	Undergraduate student	Harvard College	Government
11/2/2018 11:27:38	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
11/5/2018 14:31:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	PhD in Public Policy 
11/7/2018 12:59:27	Other Affliate	Harvard School of Public Health (HSPH)	Harvard Humanitarian Initiative
11/8/2018 15:27:49	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Earth and Planetary Sciences
11/9/2018 11:09:14	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP
11/9/2018 15:18:50	Undergraduate student	Harvard College	Physics
11/12/2018 2:16:25	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology + CMES
11/13/2018 9:31:07	Post doctoral research associate	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies
11/13/2018 13:58:47	Graduate student: Doctorate	FAS Social Science Division	Sociology
11/13/2018 14:51:40	Graduate student: Doctorate	FAS Social Science Division	Sociology & Social Policy
11/13/2018 16:42:58	Faculty	Harvard Medical School (HMS)	MGH 
11/13/2018 16:45:58	Graduate student: Masters	Harvard Medical School (HMS)	Department of Global Health 
11/13/2018 17:01:41	Faculty	Harvard Medical School (HMS)	MGH/Mongan Institute Health Policy Center
11/13/2018 19:44:49	Staff	Harvard Business School (HBS)	Research Computing Services
11/14/2018 8:04:05	Research fellow	Harvard Medical School (HMS)	Neurology
11/14/2018 9:43:50	Undergraduate student	Harvard College	Government Department
11/14/2018 10:09:05	Graduate student: Masters	Harvard School of Public Health (HSPH)	Biostatistics
11/16/2018 10:31:35	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences (Environmental Health)
11/18/2018 8:03:23	Non-Harvard	Harvard School of Public Health (HSPH)	GIS
11/19/2018 21:59:07	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences
11/21/2018 9:11:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
11/23/2018 9:32:49	Undergraduate student	Harvard College	Psychology Department
11/24/2018 9:25:52	Research fellow	Harvard School of Public Health (HSPH)	global health and population
11/24/2018 10:45:56	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	PhD Program in Urban Planning
11/26/2018 9:18:57	Visitor	Non-Harvard	-
11/26/2018 10:23:50	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History
11/26/2018 13:26:53	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health
11/26/2018 15:19:21	Staff	FAS Social Science Division	CGA/IQSS
11/26/2018 20:24:02	Graduate student: Doctorate	Harvard Graduate School of Education (GSE)	PhD in Education
11/27/2018 10:49:50	Research assistant	FAS Science Division	Human Evolutionary Biology
11/27/2018 13:35:23	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Wyss Institute
11/28/2018 10:14:02	Visitor	Non-Harvard	Non
11/28/2018 11:02:22	Post doctoral research associate	Harvard School of Public Health (HSPH)	Env Health
11/28/2018 18:01:43	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Material Science & Mechanical Engineering
11/29/2018 10:56:56	Research fellow	Harvard Medical School (HMS)	Boston Children's Hospital, Neurology
11/30/2018 10:32:36	Staff	Harvard Law School (HLS)	Empirical Research Services
11/30/2018 20:21:05	Research assistant	Harvard Business School (HBS)	Harvard Business School
12/2/2018 15:45:41	Post doctoral research associate	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies
12/3/2018 7:18:42	Other Affliate	Harvard School of Public Health (HSPH)	Global Health and population 
12/3/2018 21:49:44	Graduate student: Doctorate	FAS Arts and Humanities Division	Sociology & Social Policy
12/4/2018 11:08:24	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	School of Public Health - Global Health & Population
12/4/2018 15:57:36	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning & Design
12/6/2018 13:07:48	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Mdes ULE
12/6/2018 16:08:08	Post doctoral research associate	FAS Social Science Division	Harvard University Center for the Environment
12/11/2018 13:27:34	Faculty	FAS Social Science Division	Economics
12/11/2018 17:17:52	Research assistant	Harvard School of Public Health (HSPH)	Beth Israel Deaconess Medical Center -OB/GYN
12/14/2018 10:47:17	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture M.ArchII
12/14/2018 15:20:07	Staff	Harvard Business School (HBS)	Division of Research and Faculty Development 
12/14/2018 15:55:09	Staff	FAS Science Division	Research Computing
12/17/2018 10:31:16	Graduate student: Masters	Harvard Business School (HBS)	MBA Program
12/17/2018 16:22:59	Graduate student: Masters	FAS other units	Sustainability
12/18/2018 21:24:39	Visitor	Non-Harvard	N/A
12/20/2018 13:21:35	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
12/26/2018 4:58:15	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPAID
12/28/2018 12:14:35	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health/SM80
1/1/2019 15:44:15	Non-Harvard	Non-Harvard	N/A
1/3/2019 14:19:39	Staff	FAS other units	Harvard Forest
1/3/2019 15:31:31	Graduate student: Doctorate	Harvard Medical School (HMS)	Brigham and Women's Department of Dermatology
1/4/2019 17:16:04	Alum or Emeritus	Harvard Business School (HBS)	N/A
1/6/2019 21:09:26	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Design & Planning
1/8/2019 9:49:24	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Belfer Center
1/8/2019 12:46:18	Staff	Harvard Business School (HBS)	Knowledge and Library Services
1/9/2019 16:45:59	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Arnold Arboretum
1/9/2019 16:57:52	Non-Harvard	Non-Harvard	Non-Harvard
1/10/2019 14:57:19	Research fellow	Harvard School of Public Health (HSPH)	Biostat 
1/14/2019 17:20:26	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
1/15/2019 9:11:52	Research assistant	Harvard Law School (HLS)	JD
1/21/2019 10:44:23	Non-Harvard	Non-Harvard	none
1/22/2019 8:39:34	Research fellow	Non-Harvard	GEOGRAPHY
1/22/2019 12:52:29	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Urban Planning
1/22/2019 19:09:44	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies
1/22/2019 20:03:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
1/23/2019 20:25:57	Staff	Harvard Kennedy School of Government (HKS)	SLATE (Teaching Center)
1/28/2019 12:34:49	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
1/29/2019 13:31:46	Alum or Emeritus	FAS Division of Continuing Education (DCE)	MLA International Relations
1/30/2019 12:40:59	Alum or Emeritus	Harvard Business School (HBS)	NA
1/30/2019 17:24:38	Staff	Harvard Business School (HBS)	RCS at HBS
1/31/2019 14:40:00	Undergraduate student	FAS Division of Continuing Education (DCE)	ISMT E-150
2/1/2019 20:54:12	Research assistant	Harvard School of Public Health (HSPH)	BIDMC OB-GYN
2/4/2019 16:28:47	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
2/4/2019 16:30:31	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
2/4/2019 18:48:39	Undergraduate student	Harvard College	Social Studies
2/5/2019 11:25:28	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History
2/5/2019 11:51:09	Research fellow	Harvard School of Public Health (HSPH)	Biostat
2/8/2019 20:17:05	Undergraduate student	FAS Social Science Division	Economics Department
2/10/2019 16:28:32	Staff	Harvard Medical School (HMS)	Dept. of Biomedical Informatics
2/11/2019 15:57:50	Graduate student: Masters	Harvard School of Public Health (HSPH)	ENVIRONMENTAL HEALTH
2/13/2019 18:48:57	Other Affliate	FAS Arts and Humanities Division	Society of Fellows
2/18/2019 19:25:12	Other Affliate	Harvard School of Public Health (HSPH)	Global Health and Population
2/19/2019 13:53:04	Non-Harvard	Non-Harvard	NA
2/20/2019 15:16:25	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy (also IQSS Affiliate)
2/21/2019 8:50:36	Non-Harvard	Non-Harvard	Non-Harvard
2/24/2019 13:45:34	Non-Harvard	Non-Harvard	Non-Harvard
2/25/2019 10:41:59	Research fellow	Harvard Law School (HLS)	The Emmett Environmental Law and Policy Clinic
2/25/2019 20:29:31	Post doctoral research associate	FAS Social Science Division	Government Dept.
2/27/2019 16:56:41	Graduate student: Masters	Harvard Medical School (HMS)	Global Health and Social Medicine
2/27/2019 22:29:07	Graduate student: Masters	Harvard Medical School (HMS)	Global health delivery 
2/27/2019 22:36:26	Graduate student: Masters	Harvard Medical School (HMS)	GHD
2/28/2019 13:55:07	Non-degree student	Graduate School of Arts and Sciences (GSAS)	Harvard-Yenching Institute/Mesoamerican arhcaeology training program
2/28/2019 15:12:57	Non-degree student	Graduate School of Arts and Sciences (GSAS)	Harvard Yenching
3/2/2019 12:41:57	Non-Harvard	Non-Harvard	NA
3/4/2019 13:40:50	Faculty	Harvard Medical School (HMS)	Department of Medicine
3/4/2019 17:09:11	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension systainability
3/5/2019 10:20:58	Visitor	Non-Harvard	NA
3/5/2019 11:23:22	Post doctoral research associate	FAS other units	Harvard University Center for the Environment
3/5/2019 13:33:22	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
3/7/2019 14:12:49	Undergraduate student	Harvard College	Organismic and Evolutionary Biology
3/8/2019 16:14:09	Staff	Harvard Kennedy School of Government (HKS)	Taubman Center
3/9/2019 5:30:25	Non-Harvard	Non-Harvard	Stanford University, graduate student researcher at Stanford Urban Resilience Initiative
3/11/2019 10:49:58	Visitor	Graduate School of Arts and Sciences (GSAS)	Department of Government
3/12/2019 15:19:34	Non-Harvard	Non-Harvard	University of Alabama in Birmingham
3/18/2019 12:15:40	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Identity and Access Management
3/18/2019 16:48:43	Staff	Harvard Graduate School of Education (GSE)	Center for Education Policy Research
3/21/2019 9:44:09	Staff	Harvard Graduate School of Education (GSE)	Center for Education Policy Research
3/21/2019 16:33:07	Staff	Harvard Business School (HBS)	Knowledge and Library Services
3/25/2019 6:33:11	Non-Harvard	Non-Harvard	University of Hohenheim, graduate student
3/25/2019 11:54:05	Staff	Harvard Medical School (HMS)	Pediatrics Resident
3/26/2019 9:15:52	Faculty	Non-Harvard	Smith College, Faculty in Architecture + Urbanism
3/26/2019 10:36:44	Faculty	Harvard Medical School (HMS)	Channing Division of Network Medicine
3/26/2019 22:12:24	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics Department
3/27/2019 23:43:51	Undergraduate student	FAS Social Science Division	Economics
3/29/2019 11:46:55	Staff	FAS Science Division	Harvard Forest
4/1/2019 22:44:10	Graduate student: Doctorate	FAS Social Science Division	Government
4/3/2019 16:33:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government Department
4/4/2019 9:52:19	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
4/4/2019 14:07:33	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
4/6/2019 17:26:50	Graduate student: Masters	Harvard School of Public Health (HSPH)	Department of Environmental Health
4/9/2019 15:01:44	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences/Environmental Health
4/11/2019 14:15:10	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
4/12/2019 13:31:49	Graduate student: Masters	Harvard Medical School (HMS)	Global Health Delivery 
4/15/2019 11:05:32	Visitor	Harvard Law School (HLS)	Institute for Global Law and Policy
4/15/2019 12:59:45	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	OEB
4/15/2019 13:00:35	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	NA
4/15/2019 13:01:05	Graduate student: Masters	Harvard School of Public Health (HSPH)	Department of Environmental Health
4/15/2019 13:02:23	Staff	Harvard Business School (HBS)	Knowledge & Library Services
4/15/2019 13:03:47	Research assistant	Harvard Graduate School of Education (GSE)	CEPR
4/15/2019 13:04:27	Non-Harvard	Non-Harvard	MGH Mongan Institute Health Policy Research Center (My PI John Hsu is a HMS faculty member)
4/15/2019 13:08:49	Undergraduate student	Harvard College	(harvard)
4/15/2019 13:15:53	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
4/15/2019 13:23:30	Faculty	FAS Social Science Division	Anthropology
4/15/2019 13:46:50	Graduate student: Masters	FAS Division of Continuing Education (DCE)	n/a
4/15/2019 13:48:52	Other Affliate	Non-Harvard	PHS Project Manager
4/15/2019 14:56:13	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Material Science
4/15/2019 15:37:52	Staff	Harvard School of Public Health (HSPH)	affiliated with HSPH
4/15/2019 17:01:09	Post doctoral research associate	FAS Arts and Humanities Division	Joint Center for History and Economics
4/16/2019 0:14:56	Undergraduate student	Harvard College	Organismic and Evolutionary Biology
4/16/2019 12:21:13	Research fellow	FAS Arts and Humanities Division	Anthropology/CGA
4/16/2019 15:13:31	Undergraduate student	Harvard College	Social Studies
4/16/2019 20:22:26	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy
4/17/2019 13:35:10	Visitor	Non-Harvard	N/A
4/18/2019 11:11:44	Faculty	Harvard Medical School (HMS)	Pediatrics
4/18/2019 16:34:39	Staff	FAS Arts and Humanities Division	Harvard Art Museums
4/18/2019 20:16:07	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
4/19/2019 11:18:36	Research fellow	FAS Arts and Humanities Division	Harvard Semitic Museum
4/19/2019 12:16:32	Graduate student: Masters	Harvard School of Public Health (HSPH)	EH
4/19/2019 15:17:15	Non-degree student	FAS Division of Continuing Education (DCE)	DCE - Web Technologies Graduate Certificate
4/20/2019 12:21:02	Post doctoral research associate	Harvard Medical School (HMS)	Program in Global Surgery and Social Change
4/21/2019 23:33:16	Research fellow	Harvard Kennedy School of Government (HKS)	Ash Center for Democratic Governance and Innovation
4/22/2019 8:39:19	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology & Social Policy
4/22/2019 11:22:56	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	HKS
4/22/2019 11:42:30	Alum or Emeritus	Graduate School of Arts and Sciences (GSAS)	Public Policy PhD 2018
4/22/2019 13:33:32	Faculty	Harvard Medical School (HMS)	MGH, Emergency Medicine 
4/22/2019 15:13:46	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies
4/22/2019 15:35:25	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Harvard University, SEAS
4/22/2019 20:06:22	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPA graduate program
4/23/2019 15:25:17	Graduate student: Masters	Harvard School of Public Health (HSPH)	Quant Methods/Epi
4/24/2019 20:08:34	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
4/25/2019 10:55:35	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
4/25/2019 12:06:07	Graduate student: Masters	Harvard Medical School (HMS)	Global Health and Social Medicine
4/26/2019 10:01:24	Graduate student: Masters	HUIT, Libraries, UPO, other Harvard centers or programs	Global health and population
4/26/2019 13:23:38	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
4/26/2019 17:45:45	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Environmental Science & Engineering
4/26/2019 19:17:36	Research fellow	FAS Arts and Humanities Division	East Asia Languages and Civilizations
4/26/2019 20:53:01	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	DrPH
4/29/2019 11:43:18	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
4/30/2019 8:51:00	Graduate student: Masters	Harvard School of Public Health (HSPH)	QM/Epi
5/6/2019 13:19:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
5/10/2019 3:21:00	Research fellow	Non-Harvard	Hawassa University, graduate student
5/15/2019 5:37:38	Non-Harvard	Non-Harvard	Beit Hatfutsot â The Museum of the Jewish People in Tel Aviv
5/16/2019 14:23:36	Undergraduate student	FAS other units	Social Studies 
5/16/2019 17:19:50	Research fellow	Harvard School of Public Health (HSPH)	Environmental Health
5/17/2019 4:25:34	Visitor	Non-Harvard	N/A
5/20/2019 23:52:31	Undergraduate student	FAS Division of Continuing Education (DCE)	Anthropology
5/22/2019 9:23:12	Faculty	Harvard Law School (HLS)	Empirical Research Services
5/22/2019 11:30:15	Faculty	Harvard Medical School (HMS)	Mongan Institute, Massachusetts General Hospital
5/25/2019 20:43:11	Non-Harvard	Non-Harvard	NA
5/29/2019 0:38:21	Research fellow	FAS Arts and Humanities Division	Harvard Semitic Museum
5/29/2019 11:49:53	Post doctoral research associate	FAS Social Science Division	Department of Economics
5/30/2019 11:46:43	Research fellow	Harvard Kennedy School of Government (HKS)	Women and Public Policy Program (WAPPP)
5/31/2019 14:57:34	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Center for International Development
6/6/2019 8:08:21	Faculty	Harvard Law School (HLS)	Empirical Department
6/6/2019 11:20:41	Post doctoral research associate	Graduate School of Arts and Sciences (GSAS)	HSPH
6/6/2019 15:14:44	Non-Harvard	Non-Harvard	Leventhal Map & Education Center at the Boston Public Library
6/7/2019 13:37:50	Non-Harvard	Non-Harvard	MIT, graduate student
6/7/2019 22:42:01	Faculty	Harvard Graduate School of Education (GSE)	ingenieria
6/10/2019 11:50:53	Undergraduate student	Harvard College	Sociology
6/11/2019 11:43:31	Other Affliate	Harvard Medical School (HMS)	Computational Epidemiology Group, Boston Children's Hospital
6/13/2019 14:16:35	Staff	Harvard Business School (HBS)	Baker Library
6/18/2019 20:47:53	Research fellow	Graduate School of Arts and Sciences (GSAS)	HSPH
6/19/2019 11:48:48	Staff	FAS other units	CGA
6/25/2019 21:07:22	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
6/26/2019 23:12:51	Graduate student: Doctorate	Harvard Medical School (HMS)	Harvard Medical School
6/27/2019 11:42:38	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology PhD
6/27/2019 12:14:08	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
6/27/2019 13:35:52	Staff	FAS other units	HUIT
6/27/2019 15:09:04	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning graduate student
6/27/2019 17:44:25	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
6/27/2019 19:19:02	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Social Policy
6/28/2019 14:42:48	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
7/1/2019 8:41:45	Research assistant	Harvard Medical School (HMS)	Massachusetts Eye and Ear Infirmary
7/1/2019 9:52:32	Graduate student: Masters	Harvard School of Public Health (HSPH)	NA
7/2/2019 13:27:15	Undergraduate student	Radcliffe Institute for Advanced Study	Radcliffe Research Partnership 
7/5/2019 10:18:50	Undergraduate student	Harvard College	HBS PRIMO Research Fellow
7/10/2019 14:41:41	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	HUIT Support Services
7/11/2019 11:57:58	Graduate student: Masters	Harvard School of Public Health (HSPH)	HSPH
7/12/2019 10:54:40	Staff	FAS Social Science Division	Social Sciences Administrative Support Group
7/12/2019 12:27:17	Post doctoral research associate	Harvard School of Public Health (HSPH)	Department of Global Health and Population
7/15/2019 12:49:43	Faculty	Harvard Medical School (HMS)	MGH/Mongan Institute
7/16/2019 10:02:05	Research assistant	FAS Science Division	Harvard Forest
7/17/2019 6:26:39	Staff	Harvard Business School (HBS)	HBS Africa Research Center in Johannesburg, Executive Director
7/17/2019 15:30:05	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard GSD
7/17/2019 18:13:33	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
7/18/2019 11:28:33	Graduate student: Masters	Harvard School of Public Health (HSPH)	Social & Behavioral Sciences
7/18/2019 13:45:33	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology
7/22/2019 21:58:22	Graduate student: Masters	Harvard Medical School (HMS)	Global health and social medicine 
7/23/2019 9:20:01	Non-Harvard	Non-Harvard	organization
7/24/2019 16:08:51	Visitor	HUIT, Libraries, UPO, other Harvard centers or programs	HURI ( Ukraine Research Institute)
7/26/2019 14:18:41	Post doctoral research associate	FAS Social Science Division	Society of Fellows
7/28/2019 9:30:41	Faculty	FAS Arts and Humanities Division	Formerly the Harvard Joint Center for History and Economics
7/29/2019 10:23:36	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Human Evolutionary Biology
7/29/2019 12:18:42	Non-Harvard	Non-Harvard	Gensler, Global Cities Lead
7/29/2019 14:22:13	Staff	Harvard Graduate School of Design (GSD)	IT SUPPORT
7/30/2019 11:03:13	Research fellow	FAS Social Science Division	Government Dept.
7/31/2019 20:38:44	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government and social policy
8/1/2019 7:02:35	Non-Harvard	Non-Harvard	World Bank, Consultant
8/1/2019 11:46:20	Research fellow	FAS Arts and Humanities Division	Harvard Semitic Museum
8/1/2019 16:25:12	Research fellow	Harvard School of Engineering and Applied Sciences (SEAS)	Urban Innovation Researchers
8/1/2019 19:55:23	Post doctoral research associate	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Ukranian Research Institute
8/1/2019 20:34:19	Post doctoral research associate	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Ukrainian Research Institute
8/5/2019 10:02:31	Staff	Harvard Kennedy School of Government (HKS)	Library & Knowledge Services
8/5/2019 16:25:14	Non-Harvard	Non-Harvard	Stratsoft LLC
8/5/2019 17:12:58	Other Affliate	Harvard Kennedy School of Government (HKS)	Government Performance Lab
