Timestamp	Name of the training workshop	Date of the training workshop	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program	What best describe your GIS experience (consider all types of software tools)?	How did you find out this program
9/1/2018 16:33:14	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Faculty	Harvard College	Department of the Classics	Never used any GIS	From CGA website
9/3/2018 14:56:19	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art & Architecture	Never used any GIS	From CGA website
9/4/2018 10:34:33	Basic Introduction to GIS (fall 2018)	9/7/2018	Other Affliate	Graduate School of Arts and Sciences (GSAS)	Department of Psychology/FAS	Never used any GIS	From other Harvard people
9/4/2018 10:48:12	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies	Tried some before, don't remember much	From other Harvard people
9/4/2018 12:09:54	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government	Never used any GIS	From other Harvard people
9/4/2018 13:16:23	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	FAS Science Division	Museum of Comparative Zoology, Icthyology Department	Tried some before, don't remember much	From CGA newsletter
9/4/2018 13:22:16	GIS for Humanities and Social Sciences (fall 2018)	9/7/2018	Staff	FAS Arts and Humanities Division	IQSS	Never used any GIS	From other Harvard people
9/4/2018 13:38:28	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	FAS Arts and Humanities Division	IQSS	Tried some before, don't remember much	From other Harvard people
9/4/2018 13:41:09	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	FAS Arts and Humanities Division	IQSS	Never used any GIS	From other Harvard people
9/4/2018 13:42:55	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	FAS Arts and Humanities Division	IQSS	Never used any GIS	From other Harvard people
9/4/2018 14:01:24	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	FAS Social Science Division	IQSS	Tried some before, don't remember much	From other Harvard people
9/4/2018 14:21:16	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies	Used it to do simple tasks occassionally	From other Harvard people
9/4/2018 14:44:52	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies	Used it to do simple tasks occassionally	From other Harvard people
9/4/2018 15:09:27	Basic Introduction to GIS (fall 2018)	9/7/2018	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Library/Assessment and Program Management	Never used any GIS	From CGA website
9/5/2018 15:47:26	Cartography Workshop (spring 2019)	4/26/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD	Used it for complex tasks years ago	From CGA website
9/5/2018 19:08:40	Basic Introduction to GIS (fall 2018)	9/7/2018	Visitor	FAS other units	IQSS	Never used any GIS	From CGA website
9/5/2018 22:47:34	Basic Introduction to GIS (fall 2018)	9/7/2018	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters of Urban Planning	Tried some before, don't remember much	From other Harvard people
9/6/2018 21:37:38	Basic Introduction to GIS (fall 2018)	9/7/2018	Research fellow	Harvard Graduate School of Design (GSD)	Loeb Fellowship	Used it to do simple tasks occassionally	From Internet search
9/7/2018 0:24:13	Basic Introduction to GIS (spring 2019)	2/1/2019	Research fellow	Harvard School of Public Health (HSPH)	Population Sciences	Never used any GIS	From Internet search
9/7/2018 13:31:56	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Global Health and Population	Tried some before, don't remember much	From CGA website
9/16/2018 11:42:56	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Post doctoral research associate	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies	Tried some before, don't remember much	From CGA website
9/16/2018 11:45:25	Basic Introduction to GIS (spring 2019)	2/1/2019	Post doctoral research associate	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies	Tried some before, don't remember much	From CGA website
9/16/2018 11:49:44	Cartography Workshop (spring 2019)	4/26/2019	Post doctoral research associate	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies	Tried some before, don't remember much	From CGA website
9/17/2018 2:11:50	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Regional Studies-East ASIA	Tried some before, don't remember much	From CGA website
9/17/2018 15:52:59	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard Extension School / Harvard Extension Student Environmental Club	Never used any GIS	From other Harvard people
9/17/2018 15:59:39	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension School	Never used any GIS	From other Harvard people
9/19/2018 16:15:51	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Research fellow	Harvard Kennedy School of Government (HKS)	Ash Center	Never used any GIS	From other Harvard people
9/20/2018 10:43:44	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Visitor	Harvard School of Public Health (HSPH)	Department of social and behavior science	Never used any GIS	From previous attendees
9/20/2018 10:50:46	Basic Introduction to GIS (spring 2019)	2/1/2018	Visitor	Harvard School of Public Health (HSPH)	Department of social and behavior science	Never used any GIS	From previous attendees
9/24/2018 8:16:17	Basic Introduction to GIS (spring 2019)	2/1/2019	Staff	FAS other units	Arnold Arboretum/Living Collections	Used it for complex tasks years ago	From other Harvard people
9/24/2018 13:43:18	Cartography Workshop (spring 2019)	4/26/2019	Staff	Harvard College	cga	Never used any GIS	From Harvard Gazette Calendar
9/30/2018 20:58:12	Basic Introduction to GIS (spring 2019)	2/1/2018	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population	Never used any GIS	From CGA website
10/1/2018 15:18:36	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health	Used it for complex tasks years ago	From Internet search
10/3/2018 15:46:27	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Post doctoral research associate	FAS other units	Harvard University Center for the Environment	Tried some before, don't remember much	From CGA website
10/7/2018 14:05:50	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	ENVIRONMENTAL HEALTH	Never used any GIS	From CGA website
10/9/2018 13:47:31	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Staff	FAS Social Science Division	SSASG	Never used any GIS	Other
10/10/2018 10:34:05	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Faculty	Harvard Law School (HLS)	HLS Climenko Fellow	Never used any GIS	From other Harvard people
10/10/2018 11:08:57	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Staff	Harvard Law School (HLS)	Empirical Research Services	Never used any GIS	From other Harvard people
10/14/2018 2:15:09	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology 	Tried some before, don't remember much	From Internet search
10/15/2018 11:10:11	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability	Used it to do simple tasks occassionally	From previous attendees
10/15/2018 14:36:10	GIS for Humanities and Social Sciences (fall 2018)	10/25/2018	Research fellow	Harvard School of Public Health (HSPH)	FXB Center	Used it to do simple tasks occassionally	From CGA website
10/17/2018 8:56:22	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Undergraduate student	Harvard College	Economics / Energy & Environment 	Never used any GIS	From other Harvard people
10/19/2018 12:50:50	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	Harvard School of Public Health (HSPH)	Quantitative Methods	Never used any GIS	From Internet search
10/20/2018 10:47:22	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science	Used it to do simple tasks occassionally	From Internet search
10/24/2018 12:52:18	Basic Introduction to GIS (spring 2019)	2/1/2019	Staff	Harvard Law School (HLS)	Empirical Research Services	Never used any GIS	From previous attendees
10/24/2018 15:42:27	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability 	Tried some before, don't remember much	From other Harvard people
10/24/2018 15:57:08	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology	Never used any GIS	From Internet search
10/26/2018 13:35:21	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Design Engineering	Never used any GIS	Other
10/28/2018 12:05:39	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Population Health Sciences	Never used any GIS	From CGA website
10/29/2018 13:56:17	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Visitor	FAS Arts and Humanities Division	East Asian Languages and Civilizations	Tried some before, don't remember much	From other Harvard people
11/1/2018 12:56:09	Basic Introduction to GIS (spring 2019)	2/1/2019	Undergraduate student	FAS Arts and Humanities Division	Mathematics	Never used any GIS	From Internet search
11/2/2018 10:30:28	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health	Used it to do simple tasks occassionally	From other Harvard people
11/2/2018 11:42:27	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Global Health and Populations	Never used any GIS	From previous attendees
11/5/2018	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Non-Harvard	Harvard Medical School (HMS)	Health Care Policy	Used it for complex tasks years ago	Other
11/5/2018 10:50:12	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Research fellow	Harvard School of Public Health (HSPH)	GHP	Used it for complex tasks years ago	From CGA website
11/5/2018 17:05:45	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Undergraduate student	Harvard College	Government	Tried some before, don't remember much	From CGA website
11/9/2018 20:16:50	Cartography Workshop (spring 2019)	4/26/2018	Research fellow	Harvard School of Public Health (HSPH)	Takemi fellowship in International Health	Used it to do simple tasks occassionally	From CGA website
11/11/2018 21:16:48	Cartography Workshop (spring 2019)	4/26/2018	Visitor	Harvard School of Public Health (HSPH)	Department of social and behavior science	Never used any GIS	From previous attendees
11/14/2018 9:49:07	Basic Introduction to GIS (spring 2019)	2/1/2018	Faculty	FAS Science Division	Natural Resource Management	Used it to do simple tasks occassionally	From other Harvard people
11/14/2018 23:10:14	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Masters	Harvard School of Public Health (HSPH)	Quantitative Methods (EPI)	Never used any GIS	From CGA website
11/15/2018 15:53:35	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Staff	Harvard Kennedy School of Government (HKS)	Library & Knowledge Services	Used it to do simple tasks occassionally	From CGA website
11/15/2018 16:11:51	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Staff	FAS Arts and Humanities Division	Houghton Library Public Services	Tried some before, don't remember much	From other Harvard people
11/19/2018 10:50:18	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Research fellow	Harvard School of Public Health (HSPH)	Social and Behavioral Sciences Department	Never used any GIS	From Internet search
11/19/2018 11:09:46	Basic Introduction to GIS (spring 2019)	2/1/2019	Research fellow	Harvard School of Public Health (HSPH)	Social and Behavioral Science Department	Never used any GIS	From Internet search
11/21/2018 17:02:17	Basic Introduction to GIS (spring 2019)	1/1/2019	Undergraduate student	Harvard College	History of Science	Never used any GIS	From other Harvard people
11/27/2018	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Non-Harvard				
11/27/2018 10:39:54	Basic Introduction to GIS (spring 2019)	2/1/2019	Research assistant	FAS Science Division	Human Evolutionary Biology	Used it to do simple tasks occassionally	From previous attendees
11/27/2018 14:13:49	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP	Tried some before, don't remember much	From other Harvard people
11/28/2018 0:41:04	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology and Social Policy	Tried some before, don't remember much	From other Harvard people
11/28/2018 9:18:13	Basic Introduction to GIS (spring 2019)	2/1/2019	Faculty	FAS Science Division	Natural Resource Management	Used it to do simple tasks occassionally	From other Harvard people
11/28/2018 18:38:24	GIS for Humanities and Social Sciences (fall 2018)	7/12/2018	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability Program	Used it to do simple tasks occassionally	From other Harvard people
12/1/2018 0:56:04	Basic Introduction to GIS (spring 2019)	2/1/2019	Post doctoral research associate	FAS other units	Fairbank Center	Used it to do simple tasks occassionally	From CGA website
12/4/2018 11:54:40	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard Extension School - Sustainability Masters Program	Never used any GIS	From other Harvard people
12/4/2018 13:54:37	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences/Infectious Disease Epidemiology	Used it for complex tasks years ago	From CGA website
12/5/2018 11:55:34	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy	Never used any GIS	From other Harvard people
12/7/2018 15:13:44	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard University Extension School Sustainability and Environmental Management	Never used any GIS	From other Harvard people
12/7/2018 16:44:13	GIS for Humanities and Social Sciences (fall 2018)	12/7/2018	Non-degree student	FAS Division of Continuing Education (DCE)	ISMT E-150	Never used any GIS	From CGA website
12/10/2018 16:31:18	Basic Introduction to GIS (spring 2019)	2/1/2019	Faculty	Harvard Kennedy School of Government (HKS)	Belfer Center	Tried some before, don't remember much	From CGA website
12/11/2018 9:58:01	Cartography Workshop (spring 2019)	4/26/2019	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies	Other	Other
12/11/2018 14:59:39	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Comparative Literature	Never used any GIS	From other Harvard people
12/11/2018 17:23:44	Basic Introduction to GIS (spring 2019)	2/1/2018	Research assistant	Harvard School of Public Health (HSPH)	BIDMC-OB/GYN	Tried some before, don't remember much	From CGA website
12/15/2018 13:20:39	Basic Introduction to GIS (spring 2019)	2/1/2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Schlesinger Library, Radcliffe Institute for Advanced Study 	Tried some before, don't remember much	From CGA website
12/17/2018 11:15:35	Basic Introduction to GIS (spring 2019)	2/1/2019	Research assistant	Harvard Medical School (HMS)	Neurology 	Tried some before, don't remember much	From CGA website
12/17/2018 11:57:28	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population	Never used any GIS	From other Harvard people
12/17/2018 12:30:48	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health	Never used any GIS	From other Harvard people
12/17/2018 12:32:24	Cartography Workshop (spring 2019)	4/26/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health	Never used any GIS	From other Harvard people
12/20/2018 9:23:38	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	DrPH	Never used any GIS	From other Harvard people
12/20/2018 9:30:25	GIS for Humanities and Social Sciences (fall 2019)	12/6/2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	DrPH	Never used any GIS	From other Harvard people
12/22/2018 14:23:10	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population	Never used any GIS	From CGA newsletter
1/1/2019 15:58:29	Basic Introduction to GIS (spring 2019)	2/1/2019	Undergraduate student	Harvard College	History	Never used any GIS	From CGA website
1/6/2019 12:05:42	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Epidemiology	Never used any GIS	From CGA website
1/8/2019 16:42:05	Basic Introduction to GIS (spring 2019)	2/1/2019	Post doctoral research associate	Harvard School of Public Health (HSPH)	Global Health and Population	Tried some before, don't remember much	From CGA website
1/9/2019 23:11:43	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Education	Tried some before, don't remember much	From other Harvard people
1/10/2019 13:21:08	Cartography Workshop (spring 2019)	4/26/2019	Faculty	Harvard Medical School (HMS)	Emergency Medicine 	Used it to do simple tasks occassionally	From CGA website
1/10/2019 15:12:02	Basic Introduction to GIS (spring 2019)	2/1/2019	Staff	Harvard Kennedy School of Government (HKS)	Ash Center	Never used any GIS	From Internet search
1/11/2019 13:58:10	Cartography Workshop (spring 2019)	4/26/2019	Research fellow	Harvard School of Public Health (HSPH)	Social and Behavioral Sciences Dept	Tried some before, don't remember much	From CGA website
1/14/2019 6:44:10	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability 	Tried some before, don't remember much	From other Harvard people
1/14/2019 6:48:31	Cartography Workshop (spring 2019)	4/26/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability	Used it to do simple tasks occassionally	From other Harvard people
1/15/2019 11:28:46	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	DrPH	Never used any GIS	From CGA newsletter
1/16/2019 10:08:19	Basic Introduction to GIS (spring 2019)	2/1/2019	Faculty	Harvard Business School (HBS)	GM	Never used any GIS	From CGA website
1/16/2019 14:34:31	Basic Introduction to GIS (spring 2019)	2/1/2019	Research fellow	Harvard Kennedy School of Government (HKS)	Center for International Development	Tried some before, don't remember much	From CGA website
1/16/2019 16:04:25	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Epidemiology	Never used any GIS	From other Harvard people
1/16/2019 17:17:27	Basic Introduction to GIS (spring 2019)	2/1/2019	Staff	FAS Science Division	oeb	Used it to do simple tasks occassionally	From CGA website
1/17/2019 4:20:22	Basic Introduction to GIS (spring 2019)	2/1/2019	Research assistant	Harvard Business School (HBS)	BGIE	Used it to do simple tasks occassionally	From other Harvard people
1/17/2019 8:15:35	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Social Behavioral Sciences	Tried some before, don't remember much	From CGA website
1/17/2019 8:51:52	Cartography Workshop (spring 2019)	4/26/2019	Faculty	FAS Science Division	Natural Resource Management	Used it to do simple tasks occassionally	From other Harvard people
1/17/2019 16:43:43	Basic Introduction to GIS (spring 2019)	1/2/2019	Research fellow	FAS Social Science Division	CMES	Tried some before, don't remember much	From CGA website
1/18/2019 14:04:29	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Enviro Management	Tried some before, don't remember much	From CGA website
1/19/2019 16:17:52	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy	Never used any GIS	From other Harvard people
1/21/2019 13:07:18	Basic Introduction to GIS (spring 2019)	2/1/2019	Other Affliate	Harvard Kennedy School of Government (HKS)	NA	Tried some before, don't remember much	From other Harvard people
1/23/2019 9:20:20	Basic Introduction to GIS (spring 2019)	2/1/2019	Research assistant	Harvard School of Public Health (HSPH)	BIDMC	Never used any GIS	From CGA website
1/23/2019 10:26:10	Basic Introduction to GIS (spring 2019)	2/1/2019	Research fellow	Harvard Kennedy School of Government (HKS)	Center for International Development	Tried some before, don't remember much	From CGA website
1/23/2019 13:01:12	Basic Introduction to GIS (spring 2019)	2/1/2019	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Engineering Sciences	Tried some before, don't remember much	From CGA website
1/28/2019 16:28:21	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP	Tried some before, don't remember much	From other Harvard people
1/28/2019 21:21:06	Cartography Workshop (spring 2019)	4/26/2019	Research fellow	Harvard School of Public Health (HSPH)	Social and Behavioral Sciences	Tried some before, don't remember much	From previous attendees
1/30/2019 11:34:35	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes Risk and Resilience	Used it to do simple tasks occassionally	From CGA website
1/31/2019 14:12:10	Basic Introduction to GIS (spring 2019)	2/1/2019	Staff	Harvard Graduate School of Education (GSE)	Center for Education Policy Research	Used it for complex tasks years ago	From CGA website
1/31/2019 17:48:57	Basic Introduction to GIS (spring 2019)	2/1/2019	Undergraduate student	Harvard College	Economics Department / Senior Thesis	Never used any GIS	From CGA website
1/31/2019 17:57:07	Basic Introduction to GIS (spring 2019)	2/15/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning 	Used it to do simple tasks occassionally	From CGA newsletter
1/31/2019 20:27:26	Basic Introduction to GIS (spring 2019)	2/1/2019	Undergraduate student	Harvard College	Social Studies 	Never used any GIS	Other
2/1/2019 12:27:53	Basic Introduction to GIS (spring 2019)	2/15/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health	Never used any GIS	Other
2/1/2019 12:40:13	Basic Introduction to GIS (spring 2019)	2/1/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Epidemiology	Never used any GIS	From CGA website
2/2/2019 14:34:40	Basic Introduction to GIS (spring 2019)	2/15/2019	Undergraduate student	Harvard College	Organismic and Evolutionary Biology	Never used any GIS	From other Harvard people
2/4/2019 10:37:54	Basic Introduction to GIS (spring 2019)	2/15/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Epidemiology	Never used any GIS	From CGA website
2/4/2019 14:04:17	Basic Introduction to GIS (spring 2019)	2/15/2019	Staff	FAS other units	Harvard Library, Information and Technical Services, Metadata Creation	Never used any GIS	From other Harvard people
2/8/2019 10:54:28	Basic Introduction to GIS (spring 2019)	2/15/2019	Other Affliate	Harvard Medical School (HMS)	Boston Children's Hospital	Tried some before, don't remember much	From other Harvard people
2/11/2019 10:33:32	Basic Introduction to GIS (spring 2019)	2/15/2019	Undergraduate student	Harvard College	Computer Science	Never used any GIS	From other Harvard people
2/11/2019 14:58:55	Basic Introduction to GIS (spring 2019)	2/15/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology	Never used any GIS	From CGA website
2/13/2019 21:45:40	Basic Introduction to GIS (spring 2019)	2/15/2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP 	Never used any GIS	From other Harvard people
2/15/2019 15:24:49	Cartography Workshop (spring 2019)	4/26/2019	Staff	Radcliffe Institute for Advanced Study	Schlesinger Library	Other	From CGA website
2/27/2019 12:44:19	Cartography Workshop	4/26/2019	Staff	FAS Arts and Humanities Division	Employee of Harvard Art Museums, Extension School student	Used it regularly for work or study	From CGA website
2/28/2019 12:18:19	Cartography Workshop	4/26/2019	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Environmental Science	Tried some before, don't remember much	From CGA website
3/4/2019 22:43:34	Basic Introduction to GIS	9/6/2019	Graduate student: Doctorate	Harvard Law School (HLS)	S.J.D.	Tried some before, don't remember much	From other Harvard people
3/7/2019 9:58:56	Basic Introduction to GIS	9/6/2019	Staff	Harvard Graduate School of Design (GSD)	Executive Education & International Programs	Tried some before, don't remember much	From CGA website
3/11/2019 21:50:06	Cartography Workshop	4/26/2019	Research fellow	Harvard School of Public Health (HSPH)	Department of Social and Behavioral Sciences	Tried some before, don't remember much	From CGA website
3/28/2019 13:24:53	Cartography Workshop	4/26/2019	Post doctoral research associate	Harvard School of Public Health (HSPH)	Epidemiology	Never used any GIS	From other Harvard people
4/16/2019 11:22:41	Cartography Workshop	4/26/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies	Used it to do simple tasks occassionally	From CGA website
4/20/2019 17:50:58	Cartography Workshop	4/26/2019	Visitor	Harvard Law School (HLS)	Institute for Global Law and Policy	Tried some before, don't remember much	From CGA website
4/24/2019 9:02:28	Cartography Workshop	4/26/2019	Staff	Harvard Law School (HLS)	Annual Fund (Alumni Affairs and Development)	Used it to do simple tasks occassionally	From CGA website
6/5/2019 8:52:20	Basic Introduction to GIS	9/6/2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Social and Behavioral Sciences	Never used any GIS	From other Harvard people
7/1/2019 13:04:45	Basic Introduction to GIS	9/6/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health	Tried some before, don't remember much	From CGA website
7/18/2019 8:42:46	Basic Introduction to GIS	9/6/2019	Graduate student: Masters	Harvard Medical School (HMS)	Global Health and Social Medicine - Blavatnik Institute	Never used any GIS	Other
7/30/2019 16:07:02	Basic Introduction to GIS	9/6/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension Studies in Development Studies	Never used any GIS	Other
